cod_departamento,departamento,hacinamiento,servicios,vivienda,personas_nbi,inasistencia,miseria,anio,cod_municipio,municipio,clase
"41","HUILA","6,64","1,6","4,47","15,96","3,07","4,06","2005","41001","NEIVA","Cabecera municipal",
"41","HUILA","13,19","96,91","5,78","97,69","4,92","29,12","2005","41006","ACEVEDO","Cabecera municipal",
"41","HUILA","4,43","7,45","16,54","37,75","2,78","12,76","2005","41013","AGRADO","Cabecera municipal",
"41","HUILA","14,99","2,74","7,61","32,31","2,32","10,85","2005","41016","AIPE","Cabecera municipal",
"41","HUILA","13,22","1,77","19,18","40,08","4,7","10,87","2005","41020","ALGECIRAS","Cabecera municipal",
"41","HUILA","5,85","1,49","1","15,11","0,42","1,78","2005","41026","ALTAMIRA","Cabecera municipal",
"41","HUILA","100","100","100","100","100","100","2005","41078","BARAYA","Cabecera municipal",
"41","HUILA","5,77","1,85","4,85","22,74","3,36","5,35","2005","41132","CAMPOALEGRE","Cabecera municipal",
"41","HUILA","6,17","4,56","23,53","40,68","1,61","11,6","2005","41206","COLOMBIA","Cabecera municipal",
"41","HUILA","5,2","0,46","4,27","20,24","1,58","3,81","2005","41244","ELIAS","Cabecera municipal",
"41","HUILA","4,08","2,03","2,7","18,53","3,59","3,41","2005","41298","GARZON","Cabecera municipal",
"41","HUILA","4,82","2,45","4,81","21,99","3,08","5,61","2005","41306","GIGANTE","Cabecera municipal",
"41","HUILA","6,18","0,36","3,73","20,05","0,45","4,01","2005","41319","GUADALUPE","Cabecera municipal",
"41","HUILA","6,86","2,89","5,85","25,81","3,48","6,07","2005","41349","HOBO","Cabecera municipal",
"41","HUILA","1,09","0,66","3,28","12,96","1,23","0,96","2005","41357","IQUIRA","Cabecera municipal",
"41","HUILA","14,08","4,49","8,61","28,65","2,42","7,94","2005","41359","ISNOS","Cabecera municipal",
"41","HUILA","9,27","2,77","15,13","32,14","1,93","10,86","2005","41378","LA ARGENTINA","Cabecera municipal",
"41","HUILA","9,04","3,54","9,71","22,44","2,16","8,61","2005","41396","LA PLATA","Cabecera municipal",
"41","HUILA","7,14","2,43","16,92","30,25","3,54","10,21","2005","41483","NATAGA","Cabecera municipal",
"41","HUILA","27,81","5,26","6,12","47,04","4,34","13,32","2005","41503","OPORAPA","Cabecera municipal",
