cod_departamento,departamento,ipm,si_ac_fu_ag,bsp_cpi,analfabetismo,ba_ac_se_sa,sin_ale_sal,hacinamiento_critico,ina_eli_exc,inasistencia_escolar,baj_log_edu,ma_in_pa_ex,mat_ina_pis,rezago_escolar,trabajo_infantil,anio,cod_municipio,municipio,clase
"41","HUILA","36,9","13,6","1,5","14,5","7","16,7","7,6","9,4","4,4","68,4","2,1","10,6","19,8","2,4","2021","41306","GIGANTE","Total",
"41","HUILA","43,2","21","3,1","15,4","3,9","12,9","7,8","13,5","7,1","76,6","8,4","17,1","19,2","4,5","2021","41319","GUADALUPE","Total",
"41","HUILA","38,8","22,2","2,1","13,8","7,2","15,2","15,4","13,1","5,8","72,5","8,8","17","17,6","2,8","2021","41349","HOBO","Total",
"41","HUILA","49,6","32,2","2,6","15,8","2","13,9","12,3","26,1","7,7","75,6","3,7","27,3","22,9","4,3","2021","41357","IQUIRA","Total",
"41","HUILA","43,1","18","1,1","15,2","17,1","9,6","6,9","18,2","7,6","76,3","3,4","17","20,2","6,2","2021","41359","ISNOS","Total",
"41","HUILA","44","20,3","2","12,2","7,7","11,2","9,4","13,3","6,3","73,4","1,8","19,7","22,6","4,2","2021","41378","LA ARGENTINA","Total",
"41","HUILA","42,5","21,2","1,9","12,5","7,3","14,7","9,6","17,7","5,7","65,2","3,9","21,4","20,2","3,1","2021","41396","LA PLATA","Total",
"41","HUILA","46,9","27","2,8","15","19,4","13,5","10,7","22,3","5,1","73,5","1,7","19,6","22,4","4,9","2021","41483","NATAGA","Total",
"41","HUILA","58,5","16,1","1,4","15,7","15","11,7","8,3","53,7","9","78,7","1,7","12,4","22,4","6,2","2021","41503","OPORAPA","Total",
"41","HUILA","39,1","26,2","1,8","12","5,7","15,5","7,1","9,7","4,6","68","1,3","12,3","20,5","3,1","2021","41518","PAICOL","Total",
"41","HUILA","32,6","18,4","2","13,2","6,4","15,8","8,3","4,6","3,9","62","2,4","8,9","19,6","1,4","2021","41524","PALERMO","Total",
"41","HUILA","51","30,8","1,4","14,5","10,5","11","8,4","36","6,9","79","1,5","16,9","24,8","4,1","2021","41530","PALESTINA","Total",
"41","HUILA","43,9","28,7","2,4","12,7","4,6","16,3","7,4","16,7","7,1","74,8","2,2","17,2","19,6","4,6","2021","41548","PITAL","Total",
"41","HUILA","33,7","12,9","2,5","9,3","6,8","17,6","7,9","6,5","6,4","59,3","2,2","5,3","20,5","2,9","2021","41551","PITALITO","Total",
"41","HUILA","27,4","7,9","1,4","11,5","4,5","15,5","8,1","3","4,3","57,6","1,2","8,7","15,4","1,3","2021","41615","RIVERA","Total",
"41","HUILA","57,8","24,4","2,1","16,3","11","13,3","8,2","31,6","11,3","79,7","1,7","11,1","31","7,4","2021","41660","SALADOBLANCO","Total",
"41","HUILA","36,3","16,7","1,7","13,9","7,9","12,5","7,6","11,9","6,1","70,7","1","11","19,4","3,1","2021","41668","SAN AGUSTIN","Total",
"41","HUILA","51,5","49,9","2,9","15,5","10,1","12,3","11,2","24,5","7,3","75,8","4,5","34,4","21,1","4,9","2021","41676","SANTA MARIA","Total",
"41","HUILA","41,6","33,9","2","12,4","1,8","11,2","5,9","26,7","7","74,9","2,8","22,1","19,8","3,9","2021","41770","SUAZA","Total",
"41","HUILA","47,1","19,6","1,9","12,9","8,1","12,9","7,8","24,6","6,6","74,8","8,4","13,2","22,4","3,1","2021","41791","TARQUI","Total",
"41","HUILA","36,1","15,6","0,9","12,3","13,5","14,2","10,7","6,6","3","64,2","0,7","7,4","17,3","2","2021","41797","TESALIA","Total",
"41","HUILA","44,5","18,3","1,3","19,9","0,8","14,2","11,5","13","5,8","77,8","1,2","16,3","18,5","2,8","2021","41799","TELLO","Total",
"41","HUILA","39,9","33","3,7","17","3,1","11","11,2","9,4","5,3","74,5","0,6","8,9","21","3,8","2021","41801","TERUEL","Total",
"41","HUILA","40,8","11,9","1,1","13,5","7,8","12,9","9","32,5","5","70,2","4,2","6,6","18,6","3,2","2021","41807","TIMANA","Total",
"41","HUILA","37,9","11,2","1,3","18,4","6,8","11,7","13,1","13,5","2,7","73,7","1,7","12,5","15,3","1,3","2021","41872","VILLAVIEJA","Total",
"41","HUILA","23,8","10","1,6","14,5","1,7","14,2","7","3,3","2,3","60,5","2,5","2,7","9,7","0,7","2021","41885","YAGUARA","Total",
